형태소,품사,분류,카운트
!,Punctuation,길,43
!,Punctuation,김태호,2
!,Punctuation,노홍철,15
!,Punctuation,모두,3
!,Punctuation,박명수,19
!,Punctuation,안내인,2
!,Punctuation,유재석,11
!,Punctuation,장진영,1
!,Punctuation,정준하,15
!,Punctuation,정형돈,20
"""",Punctuation,노홍철,5
',Punctuation,김태호,1
',Punctuation,유재석,1
(,Punctuation,박명수,1
),Punctuation,박명수,1
+,Punctuation,정형돈,1
",",Punctuation,기자들,1
",",Punctuation,길,15
",",Punctuation,김태호,13
",",Punctuation,노홍철,16
",",Punctuation,모두,1
",",Punctuation,박명수,19
",",Punctuation,안내인,1
",",Punctuation,유재석,19
",",Punctuation,장진영,4
",",Punctuation,정준하,21
",",Punctuation,정형돈,19
",",Punctuation,최단비,6
",",Punctuation,판사,4
.,Punctuation,기자들,1
.,Punctuation,길,46
.,Punctuation,김태호,31
.,Punctuation,노홍철,32
.,Punctuation,모두,1
.,Punctuation,박명수,56
.,Punctuation,유재석,34
.,Punctuation,장진영,6
.,Punctuation,정준하,39
.,Punctuation,정형돈,33
.,Punctuation,최단비,3
.,Punctuation,판사,17
.',Punctuation,김태호,1
.',Punctuation,유재석,1
..,Punctuation,길,1
...,Punctuation,길,1
...,Punctuation,박명수,1
...,Punctuation,유재석,1
0.1,Number,길,1
0.1,Number,김태호,1
0.1,Number,정준하,1
0.2,Number,김태호,1
0.2,Number,정준하,1
100%,Number,정준하,1
100억,Number,노홍철,2
100억,Number,정형돈,1
10억,Number,노홍철,1
10억,Number,정준하,1
10억원,Number,유재석,1
10억원,Number,정준하,1
11시,Number,박명수,1
1217,Number,판사,1
19일,Number,노홍철,1
19일,Number,정준하,1
2,Number,박명수,1
2009,Number,판사,1
2009년,Number,노홍철,1
2009년,Number,정준하,1
20일,Number,김태호,1
4,Number,최단비,1
6,Number,김태호,1
7,Number,길,2
7,Number,김태호,1
8월,Number,김태호,1
8월,Number,노홍철,1
8월,Number,정준하,1
?,Punctuation,기자들,1
?,Punctuation,길,17
?,Punctuation,김태호,4
?,Punctuation,노홍철,17
?,Punctuation,박명수,27
?,Punctuation,유재석,36
?,Punctuation,장진영,7
?,Punctuation,정준하,23
?,Punctuation,정형돈,33
?,Punctuation,최단비,10
?,Punctuation,판사,6
?!,Punctuation,박명수,1
"?""",Punctuation,노홍철,1
??,Punctuation,정형돈,1
???,Punctuation,모두,1
???,Punctuation,유재석,1
CF,Alpha,길,1
CF,Alpha,박명수,3
